,0
0,"Several scholars have described the violence as a pogrom, while others have called it an example of state terrorism."
1,The film was the highest-grossing film of that year.
2,"His political career, however, was short-lived: he resigned after three years, calling politics a cesspool."
3,The myxophagan beetles are small and mostly alga-feeders.
4,"He did, however, maintain relations with Dawoodi Bohra."
5,"Despite these complications, the Rolling Stones toured Europe in March and April 1967."
6,Several other companies followed the Tata to Gujarat.The Modi government finished the process of bringing electricity to every village in Gujarat that its predecessor had almost completed.
7,"After a three-year stint in politics from 1984 to 1987, Bachchan returned to films in 1988, playing the title role in Shahenshah, which was a box office success."
8,"Controversy over the design of the album cover, which featured a public toilet with graffiti covering the walls of a stall, delayed the albums release for nearly six months."
9,"A few Longhorn beetles (Cerambycidae) and weevils as well as some fireflies (Rhagophthalmidae)  have divided eyes, while many have eyes that are notched, and a few have ocelli, small, simple eyes usually farther back on the head (on the vertex); these are more common in larvae than in adults."
