,0
0,"His political career, however, was short-lived: he resigned after three years, calling politics a cesspool."
1,His performance in Aks won him his first Filmfare Critics Award for Best Actor.
2,The charges against Tendulkar and Sehwags ban for excessive appealing triggered a massive backlash from the Indian public.
3,"Modi preferred playing larger-than-life characters in theatrical productions, which has influenced his political image.When eight years old, Modi discovered the Rashtriya Swayamsevak Sangh (RSS) and began attending its local shakhas (training sessions)."
4,"In 1981, he starred in Yash Chopras melodrama film Silsila, where he starred alongside his wife Jaya and also Rekha."
5,"Bachchan had, however, pleaded that he had mortgaged his bungalow to raise funds for his company.Bachchan attempted to revive his acting career, and eventually had commercial success with Bade Miyan Chote Miyan (1998) and Major Saab (1998), and received positive reviews for Sooryavansham (1999), but other films such as Lal Baadshah (1999) and Hindustan Ki Kasam (1999) were box office failures."
6,"Antennae vary greatly in form, sometimes between the sexes, but are often similar within any given family."
7,This further segmentation is usually best seen on the abdomen.
8,"According to Raja Sen of Rediff.com, ""Amitabh Bachchan, a retired lawyer suffering from bipolar disorder, takes up cudgels on behalf of the girls, delivering courtroom blows with pugilistic grace."
9,The film starred Bachchan as an ageing teacher of a deaf-blind girl and followed their relationship.
