,0
0,Television cameras picked up images that suggested Tendulkar may have been involved in cleaning the seam of the cricket ball.
1,"The beetles exoskeleton is made up of numerous plates, called sclerites, separated by thin sutures."
2,Sixty of the 112 tehsils which had depleted the water table in 2004 had regained their normal groundwater levels by 2010.
3,"Scarab beetles such as the Rutelinae use pheromones derived from fatty acid synthesis, while other scarabs such as the Melolonthinae use amino acids and terpenoids."
4,"The group sent a tape of their best recordings to Korner, who was favourably impressed."
5,I was fucking pissed with being busted.
6,Modi was sworn in as the Prime Minister of India on 26 May 2014.
7,"On 1 January 1964, the Stones ""I Wanna Be Your Man"" was the first song ever performed on the BBCs Top of the Pops."
8,"Carbon dioxide is more soluble in water than either oxygen or nitrogen, so it readily diffuses out faster than in."
9,"Salim Khan introduced Bachchan to Prakash Mehra, and Salim-Javed insisted that Bachchan be cast for the role.Zanjeer was a crime film with violent action, in sharp contrast to the romantically themed films that had generally preceded it, and it established Amitabh in a new persona the ""angry young man"" of Bollywood cinema."
