,0
0,"Modi then went to the Ramakrishna Ashram in Almora, where he was again rejected, before travelling back to Gujarat via Delhi and Rajasthan in 1968 ."
1,"Beetles are endopterygotes, which means that they undergo complete metamorphosis, with a series of conspicuous and relatively abrupt changes in body structure between hatching and becoming adult after a relatively immobile pupal stage."
2,"In 1999, BBC India declared Sholay the ""Film of the Millennium"" and, like Deewar, it has been cited by Indiatimes Movies as amongst the Top 25 Must See Bollywood Films."
3,"Many beetles are aposematic, with bright colours and patterns warning of their toxicity, while others are harmless Batesian mimics of such insects."
4,"=== 1968 : ""Back to basics"" ===  The band spent the first few months of 1968 working on material for their next album."
5,"During this time, he made a guest appearance in the film Guddi which starred his future wife Jaya Bhaduri."
6,"At this time he became pessimistic, expressing concern with how a new film would be received, and stating before every release, ""Yeh film to flop hogi!"""
7,"Bachchan starred as a young poet, Amit Malhotra, who falls deeply in love with a beautiful young girl named Pooja (Rakhee Gulzar) who ends up marrying someone else (Shashi Kapoor)."
8,This design provides armored defenses while maintaining flexibility.
9,"During the 1980s, the band infighting curtailed their output and they only released two more underperforming albums and did not tour for the rest of the decade."
