,0
0,"The Government of France honoured him with its highest civilian honour, Knight of the Legion of Honour, in 2007 for his exceptional career in the world of cinema and beyond."
1,"It was during this period they were first introduced on stage as ""The Greatest Rock and Roll Band in the World"".The band continued to release commercially successful albums through the 1970s and early 1980s, including Some Girls (1978) and Tattoo You (1981), the two best-sellers in their discography."
2,"He contested Allahabads seat for the 8th Lok Sabha against H. N. Bahuguna, former Chief Minister of Uttar Pradesh and won by one of the highest victory margins in general election history (68.2% of the vote)."
3,"Bill Wyman wrote and sang a track on the album: ""In Another Land"", also released as a single, the first on which Jagger did not sing lead."
4,... [Oldham] never did engineer it.
5,"The bands original rhythm section did not include bassist Bill Wyman, who joined in December 1962, or drummer Charlie Watts, who joined in January 1963."
6,Bachchans performance in the film saw him nominated for both the Filmfare Best Actor Award and the Filmfare Award for Best Male Playback Singer.
7,"Salim Khan wrote the story, screenplay and script of Zanjeer (1973), and conceived the ""angry young man"" persona of the lead role."
8,"In January and February that year the band played 34 shows for around 100,000 people in Australia and New Zealand."
9,His role won him his third Filmfare Best Supporting Actor Award.
