,0
0,"In 1981, he starred in Yash Chopras melodrama film Silsila, where he starred alongside his wife Jaya and also Rekha."
1,"The BJP national leadership sought a new candidate for the chief ministership, and Modi, who had expressed misgivings about Patels administration, was chosen as a replacement."
2,In 2013 the state ranked 10th of 21 Indian states in the Human Development Index.
3,"Issued in the summer of 1965, it was their fourth UK number 1 and their first in the US where it spent four weeks at the top of the Billboard Hot 100."
4,Some aquatic beetle species may use antennae for gathering air and passing it under the body whilst submerged.
5,"Like we know from Prakash Mehra movies, into each life some Bachchan must fall."
6,"Shortly before the war, Modi took part in a non-violent protest against the Indian government in New Delhi, for which he was arrested; this has been cited as a reason for Inamdar electing to mentor him."
7,"in which conservative editor William Rees-Mogg surprised his readers by his unusually critical discourse on the sentencing, pointing out that Jagger had been treated far more harshly for a minor first offence than ""any purely anonymous young man""."
8,"During this period, Modi wrote a book in Gujarati, Sangharsh Ma Gujarat (In The Struggles of Gujarat), describing events during the Emergency."
9,"In January and February that year the band played 34 shows for around 100,000 people in Australia and New Zealand."
