,0
0,""".Tendulkar, succeeding Azharuddin as captain for his second term, led India on a tour of Australia, where the visitors were beaten 3  by the newly crowned world champions."
1,"The drawn series as India toured Australia in 2003  saw Tendulkar making his mark in the last Test of the series, with 241 not out from 436 ball by 33 four at strike rate of 55.27 in Sydney, putting India in a virtually unbeatable position."
2,"Dermestids produce esters, and species of Elateridae produce fatty acid-derived aldehydes and acetates."
3,"The footage was shelved for twenty-eight years but was finally released officially in 1996, with a DVD version released in October 2004.By the time of Beggars Banquets release, Brian Jones was only sporadically contributing to the band."
4,"Bachchan is known for his deep, baritone voice."
5,"Tendulkar, however, won the player of the series award as well as player of the match in one of the games."
6,"His drug use had become a hindrance, and he was unable to obtain a US visa."
7,"In 2016, he appeared in the women-centric courtroom drama film Pink which was highly praised by critics and with an increasingly good word of mouth, was a resounding success at the domestic and overseas box office."
8,The boom in cotton production and its semi-arid land use led to Gujarats agricultural sector growing at an average rate of 9.6 percent from 2001 to 2007.
9,"For example, when moving quickly, tiger beetles may not be able to see very well and instead hold their antennae rigidly in front of them in order to avoid obstacles."
