,0
0,"His performance was unanimously praised by critics and audiences and won him his second National Film Award for Best Actor, his fourth Filmfare Best Actor Award and his second Filmfare Critics Award for Best Actor."
1,"A study by UNICEF and the Indian government found that Gujarat under Modi had a poor record with respect to immunisation in children.Over the decade from 2001 to 2011, Gujarat did not change its position relative to the rest of the country with respect to poverty and female literacy, remaining near the median of the 29 Indian states."
2,"With respect to the quality of education in government schools, the state ranked below most Indian states."
3,The governments decision to move the bodies of the train victims from Godhra to Ahmedabad further inflamed the violence.
4,Because Oldham was only nineteen and had not reached the age of majority he was also younger than anyone in the band he could not obtain an agents licence or sign any contracts without his mother co-signing.
5,Most extant beetle families appear to have arisen in the Cretaceous.
6,The Supreme Court gave the matter to the magistrates court.
7,"In later by-elections the BJP won four more assembly seats and two Lok Sabha seats held by the INC, although Modi did not campaign for its candidates."
8,"Many years later Modi would co-author a biography of Inamdar, published in 2001.In 1978 Modi received a Bachelor of Arts degree in political science from School of Open Learning at University of Delhi, graduating with a third class."
9,"Shortly afterwards, the band went on their first tour of the UK, which they called a ""training ground"" tour, because it was a new experience for all of them."
