,0
0,"Two pairs of finger-like appendages, the maxillary and labial palpi, are found around the mouth in most beetles, serving to move food into the mouth."
1,"By December 2008, 500,000 structures had been built, of which 113,738 were check dams, which helped recharge the aquifers beneath them."
2,"His strategy was credited as key to the BJP winning an overall majority in the 1998 elections, and Modi was promoted to BJP general secretary (organisation) in May of that year."
3,Dates of origin of major groups are shown in italics in millions of years ago (mya).
4,These years would see his last on-screen appearances for some time.
5,"This led to Bachchan being dubbed as ""angry young man"", a journalistic catchphrase which became a metaphor for the dormant rage, frustration, restlessness, sense of rebellion and anti-establishment disposition of an entire generation, prevalent in 1970s India.The year 1973 was also when he married Jaya, and around this time they appeared in several films together: not only Zanjeer but also subsequent films such as Abhimaan, which was released only a month after their marriage and was also successful at the box office."
6,"On the second day of the Nottingham Test on 28 July 2007, Tendulkar became the third cricketer to complete 11,000 Test runs."
7,"Who knows where these things come from, but I guess [the music] was a reaction to what wed done in our time off and also that severe dose of reality."
8,The first scarab beetles were not coprophagous but presumably fed on rotting wood with the help of fungus; they are an early example of a mutualistic relationship.
9,"As Modi rose to prominence in India, the UK and the EU lifted their bans in October 2012 and March 2013, respectively, and after his election as prime minister he was invited to Washington.During the run-up to the 2007 assembly elections and the 2009 general election, the BJP intensified its rhetoric on terrorism."
