,0
0,The film was based on the hijacking incident of the Indian Airlines Flight 814.
1,In 1971 he became a full-time worker for the RSS.
2,Tendulkar and Navjot Singh Sidhu both made centuries to set a then record partnership for the second wicket.
3,This three wicket change the result of test match from draw to win of India.
4,"He returned to Gujarat a short while later, and was assigned by the RSS to the BJP in 1985."
5,"Prime Minister Atal Bihari Vajpayee (who asked Modi for tolerance in the aftermath of the 2002 Gujarat violence and supported his resignation as chief minister) distanced himself, reaching out to North Indian Muslims before the 2004 Lok Sabha elections."
6,Sangh organisations were no longer consulted or informed in advance about Modis administrative decisions.
7,"Although early protests by farmers ended when those who benefited found that their electricity supply had stabilised, according to an assessment study corporations and large farmers benefited from the policy at the expense of small farmers and labourers."
8,"He played a part in Indias victory in Mumbai in that series with a fast 55, though Australia took the series 2 .On 10 December 2005 at Feroz Shah Kotla, Tendulkar scored his record-breaking 35th Test century, against the Sri Lankans."
9,"The bands second UK LP, The Rolling Stones number 2, was released in January 1965 and reached number 1 on the charts."
