,0
0,The cladogram is based on McKenna (2015).
1,"Modi returned to electoral politics in 1994, partly at the insistence of Advani, and as party secretary, Modis electoral strategy was considered central to the BJP victory in the 1995 state assembly elections."
2,"Richards recalled, ""There was a new deal with Decca to be made ... and he said he could do it."""
3,"The film was notable for portraying Bachchan as a romantic hero, a far cry from his ""angry young man"" roles like Zanjeer and Deewar."
4,"In 2008, the band ranked 10th on the Billboard Hot 100 All-Time Top Artists chart."
5,"After another Test series defeat, this time by a 0  margin at home against South Africa, Tendulkar resigned, and Sourav Ganguly took over as captain in 2000.During the Indian teams 2007 tour of England, the desire of Rahul Dravid to resign from the captaincy became known."
6,"While Australia retained the trophy that they had won in 1999, Tendulkar was given the Man of the Tournament award.He continued to score heavily in ODI cricket that year, with two hundreds in a tri-series involving New Zealand and Australia."
7,"Furthermore, Jaya Bachchan joined the Samajwadi Party and represented the party as an MP in the Rajya Sabha."
8,Bachchans performance in the film saw him nominated for both the Filmfare Best Actor Award and the Filmfare Award for Best Male Playback Singer.
9,Satanic Majesties became the first album the Rolling Stones produced on their own.
