,0
0,"He has hosted several seasons of the game show Kaun Banega Crorepati, Indias version of the game show franchise, Who Wants to Be a Millionaire?."
1,"Several people who voted for the BJP stated that if Modi had not been the prime-ministerial candidate, they would have voted for another party."
2,"""Their first international number 1 hit was ""(I Cant Get No) Satisfaction"", recorded in May 1965 during the bands third North American tour."
3,Indian captain Rahul Dravid declared before Tendulkar reached 200; had he done so it would have been the fourth time he had passed the landmark in Tests.
4,"While awaiting the appeal hearings, the band recorded a new single, ""We Love You"", as a thank you for their fans loyalty."
5,"The sternum is the most widely visible part of the abdomen, being a more or less sclerotized segment."
6,"He was awarded by Sports car ""Ferrari"" by Michael Schumacher for achieving this feat."
7,"Despite the BJPs shift away from explicit Hindutva, Modis election campaign in 2007 and 2012 contained elements of Hindu nationalism."
8,"In the same year he also enjoyed critical acclaim and commercial success with films like Mr. Natwarlal, Kaala Patthar, The Great Gambler and Manzil."
9,"Later in 2002, Modi said the way in which he had handled the media was his only regret regarding the episode."
