,0
0,"The sixth season was also hosted by Bachchan, commencing on 7 September 2012, broadcast on Sony TV and received the highest number of viewers thus far.In 2014, he debuted in the fictional Sony Entertainment Television TV series titled Yudh playing the lead role of a businessman battling both his personal and professional life."
1,Duane McKenna et al.
2,"In 2013, Gujarat ranked 13th in the country with respect to rates of poverty and 21st in education."
3,"The groups then acting manager, Giorgio Gomelsky, secured a Sunday afternoon residency at the Crawdaddy Club in Richmond, London, in February 1963."
4,"Tendulkar, who was pushed to bat lower down the order had scores of 7 against Bangladesh, 57 not out against Bermuda and 0 against Sri Lanka."
5,Thus Sachin Tendulkar became the youngest player to debut for India in Tests at the age of 16 years and 205 days and also the youngest player to debut for India in ODIs at the age of 16 years and 238 days.The series was followed by a tour of New Zealand in which he scored 117 runs at an average of 29.25 in Tests including an innings of 88 in the second Test.
6,"Richards said later: ""That was the final nail in the coffin with me and Brian."
7,"On his next tour, a summer tour to England of 1990, on 14 August, he became the second youngest cricketer to score a Test century as he made 119 not out in the second Test at Old Trafford in Manchester, an innings which contributed to a draw and saved India from certain defeat in the match."
8,"With Oldhams direction, fan-club members bought copies at record shops polled by the charts, helping ""Come On"" rise to number 21 on the UK Singles Chart."
9,The focus on Modi as an individual was unusual for a BJP election campaign.
