,0
0,"Modis policies to make Gujarat attractive for investment included the creation of Special Economic Zones, where labour laws were greatly weakened.Despite its growth rate, Gujarat had a relatively poor record on human development, poverty relief, nutrition and education during Modis tenure."
1,His message found support among young Indians and among middle-class citizens.
2,"Shortly before the war, Modi took part in a non-violent protest against the Indian government in New Delhi, for which he was arrested; this has been cited as a reason for Inamdar electing to mentor him."
3,It was a worldwide commercial success for the band.
4,"The Rolling Stones Rock and Roll Circus, which originally began as an idea about ""the new shape of the rock-and-roll concert tour"", was filmed at the end of 1968."
5,Sticky Fingers (1971) was the first of eight consecutive number 1 studio albums in the US.
6,The train carried a large number of Hindu pilgrims returning from Ayodhya after a religious ceremony at the site of the demolished Babri Masjid.
7,"Many years later Modi would co-author a biography of Inamdar, published in 2001.In 1978 Modi received a Bachelor of Arts degree in political science from School of Open Learning at University of Delhi, graduating with a third class."
8,"They have released 30 studio albums, 23 live albums and numerous compilations."
9,"The Beatles 1963 album, With the Beatles, includes their version of the song."
