,0
0,"He started the series wth scores of 10, 35, 44 and 32."
1,"Tendulkar, who was pushed to bat lower down the order had scores of 7 against Bangladesh, 57 not out against Bermuda and 0 against Sri Lanka."
2,"The Bombay high court, in April 1999, restrained Bachchan from selling off his Bombay bungalow Prateeksha and two flats till the pending loan recovery cases of Canara Bank were disposed of."
3,"A few Longhorn beetles (Cerambycidae) and weevils as well as some fireflies (Rhagophthalmidae)  have divided eyes, while many have eyes that are notched, and a few have ocelli, small, simple eyes usually farther back on the head (on the vertex); these are more common in larvae than in adults."
4,"Modi framed the criticism of his government for human rights violations as an attack upon Gujarati pride, a strategy which led to the BJP winning two-thirds of the seats in the state assembly."
5,"It would have been inappropriate, said Desai, for the man who had just fended off death in real life to be killed on screen."
6,"Sachin was picked for a young Indian team to tour England twice, under the Star Cricket Club banner in 1988 and 1989."
7,"They are segmented and usually consist of 11 parts, the first part is called the scape and the second part is the pedicel."
8,"He is the first prime minister outside of the Indian National Congress to win two consecutive terms with a full majority and the second to complete five years in office after Atal Bihari Vajpayee.Born to a Gujarati family in Vadnagar, Modi helped his father sell tea as a child and has said he later ran his own stall."
9,"Beyond the Indian subcontinent, he also has a large overseas following in markets including Africa (such as South Africa), the Middle East (especially Egypt), United Kingdom, Russia and parts of the United States.Bachchan has won numerous accolades in his career, including four National Film Awards as Best Actor, Dadasaheb Phalke Award as lifetime achievement award and many awards at international film festivals and award ceremonies."
