,0
0,"He has hosted several seasons of the game show Kaun Banega Crorepati, Indias version of the game show franchise, Who Wants to Be a Millionaire?."
1,Modis administration has tried to raise foreign direct investment in the Indian economy and reduced spending on healthcare and social welfare programmes.
2,He was the only Indian batsman to perform well in the semi-final against Sri Lanka.
3,Taylor left in 1974 and was replaced in 1975 by Ronnie Wood who has since remained.
4,"The next day, the Vishwa Hindu Parishad called for a bandh across the state."
5,"As a result, the states production of genetically modified cotton increased to become the largest in India."
6,"His political career, however, was short-lived: he resigned after three years, calling politics a cesspool."
7,"To attract a mate, fireflies (Lampyridae) use modified fat body cells with transparent surfaces backed with reflective uric acid crystals to produce light by bioluminescence."
8,"The series described alleged LSD parties hosted by the Moody Blues attended by top stars including the Whos Pete Townshend and Creams Ginger Baker, and alleged admissions of drug use by leading pop musicians."
9,"A remake of his biggest hit, Sholay (1975), entitled Ram Gopal Varma Ki Aag, released in August of that same year and proved to be a major commercial failure in addition to its poor critical reception."
