,0
0,"In July 2006, Modi criticised Prime Minister Manmohan Singh "" for his reluctance to revive anti-terror legislation"" such as the 2002 Prevention of Terrorism Act."
1,"In July 2007 Modi completed 2,063 consecutive days as chief minister of Gujarat, making him the longest-serving holder of that post, and the BJP won 122 of 182 state-assembly seats in that years election."
2,"The BJP national leadership sought a new candidate for the chief ministership, and Modi, who had expressed misgivings about Patels administration, was chosen as a replacement."
3,He was the third of six children born to Damodardas Mulchand Modi (c. 1915 ) and Hiraben Modi (born c. 1920).
4,"By December 2008, 500,000 structures had been built, of which 113,738 were check dams, which helped recharge the aquifers beneath them."
5,The BJPs campaign was assisted by its wide influence in the media.
6,Modi was forced to go underground in Gujarat and frequently travelled in disguise to avoid arrest.
7,"He was introduced to the RSS at the age of eight, beginning a long association with the organisation."
8,"After the Indo-Pakistani War of 1971, he stopped working for his uncle and became a full-time pracharak (campaigner) for the RSS, working under Inamdar."
9,"While Modi was training with the RSS, he also met Vasant Gajendragadkar and Nathalal Jaghda, Bharatiya Jana Sangh leaders who were founding members of the BJPs Gujarat unit in 1980.Also in Narendra Modis childhood, in a custom traditional to his caste, his family arranged a betrothal to a girl, Jashodaben Chimanlal Modi, leading to their marriage when they were teenagers."
