,0
0,"He became involved in printing pamphlets opposing the government, sending them to Delhi and organising demonstrations."
1,"Muslim victims of the riots were subject to further discrimination when the state government announced that compensation for Muslim victims would be half of that offered to Hindus, although this decision was later reversed after the issue was taken to court."
2,Dates of origin of major groups are shown in italics in millions of years ago (mya).
3,"The Guardian summed up, ""Bachchan seizes upon his cranky character part, making Bashkor as garrulously funny in his theories on caste and marriage as his system is backed-up."""
4,His illness made him feel weak both mentally and physically and he decided to quit films and venture into politics.
5,Independent sources put the death toll at over 2000.
6,Major sites from the Upper Cretaceous include Kzyl-Dzhar in South Kazakhstan and Arkagala in Russia.
7,Richards said of the album:  There is a change between material on Satanic Majesties and Beggars Banquet.
8,Several other companies followed the Tata to Gujarat.The Modi government finished the process of bringing electricity to every village in Gujarat that its predecessor had almost completed.
9,Different glands are specialized for different pheromones to attract mates.
