,0
0,"Nearly 45 percent of children under five were underweight and 23 percent were undernourished, putting the state in the ""alarming"" category on the India State Hunger Index."
1,"When we arrived, we didnt have a hit record [there] or anything going for us."""
2,The film starred Bachchan as an ageing teacher of a deaf-blind girl and followed their relationship.
3,"Modi then went to the Ramakrishna Ashram in Almora, where he was again rejected, before travelling back to Gujarat via Delhi and Rajasthan in 1968 ."
4,"His first acting role was as one of the seven protagonists in the film Saat Hindustani, directed by Khwaja Ahmad Abbas and featuring Utpal Dutt, Anwar Ali (brother of comedian Mehmood), Madhu and Jalal Agha.Anand (1971) followed, in which Bachchan starred alongside Rajesh Khanna."
5,"In addition to acting, Bachchan has worked as a playback singer, film producer and television presenter."
6,"The third single by the Stones, Buddy Hollys ""Not Fade Away"", reflecting Bo Diddleys style, was released in February 1964 and reached number 3.Oldham saw little future for an act that lost significant songwriting royalties by playing songs of what he described as ""middle-aged blacks"", limiting the appeal to teenage audiences."
7,"Also, in the released film the footage of the fight scene is frozen at the critical moment, and a caption appears onscreen marking this as the instant of the actors injury and the ensuing publicity of the accident.Later, he was diagnosed with Myasthenia gravis."
8,"He retired from Twenty20 cricket in October 2013 and subsequently retired from all forms of cricket on 16 November 2013 after playing his 200th Test match, against the West Indies in Mumbais Wankhede Stadium."
9,"The Rolling Stones were scheduled to play at a free concert for Blackhill Enterprises in Londons Hyde Park, two days after Jones death; they decided to go ahead with the show as a tribute to him."
