,0
0,His administration has been considered complicit in the 2002 Gujarat riots or otherwise criticised for its handling of it.
1,"The social policies of the government generally did not benefit Muslims, Dalits, and Adivasis, and generally increased social inequalities."
2,"Predatory ground beetles (Carabidae) and rove beetles (Staphylinidae) began to distribute into different patterns; the Carabidae predominantly occurred in the warm regions, while the Staphylinidae and click beetles (Elateridae) preferred temperate climates."
3,"The resignation followed the implication of Bachchan and his brother in the ""Bofors scandal"" by a newspaper, which he vowed to take to court."
4,"Bachchan turned producer during his temporary retirement period, setting up Amitabh Bachchan Corporation, Ltd. (ABCL) in 1996."
5,In 2013 the state ranked 10th of 21 Indian states in the Human Development Index.
6,"Myxophaga contains about 65 described species in four families, mostly very small, including Hydroscaphidae and the genus Sphaerius."
7,"The tergum in almost all species is membranous, or usually soft and concealed by the wings and elytra when not in flight."
8,Renowned film director Satyajit Ray was so impressed with Bachchans voice that he decided to use Bachchan as the narrator in his 1977 film Shatranj Ke Khilari (The Chess Players).
9,He initiated a controversial demonetisation of high-denomination banknotes.
