,0
0,"Although Modis government had announced that it would seek the death penalty for Kodnani on appeal, it reversed its decision in 2013."
1,"On 7 April, they visited the Ealing Jazz Club where they met the members of Blues Incorporated, who included slide guitarist Brian Jones, keyboardist Ian Stewart and drummer Charlie Watts."
2,"As Chief Minister, Modi favoured privatisation and small government, which was at odds with the philosophy of the RSS, usually described as anti-privatisation and anti-globalisation."
3,"Sarkar Raj, the sequel of the 2005 film Sarkar, released in June 2008 and received a positive response at the box office."
4,"He also encouraged the press to use provocative headlines such as: ""Would you let your daughter marry a Rolling Stone?"""
5,"Teji had some influence in Amitabh Bachchans choice of career because she always insisted that he should ""take the centre stage"".He is married to actress Jaya Bhaduri."
6,Amitabh was required to use his singing voice for the first time in a song from the film Mr. Natwarlal in which he starred with Rekha.
7,"Modi significantly changed the states system of power distribution, greatly impacting farmers."
8,"Bachchan was soon discovered by screenwriter duo Salim-Javed, consisting of Salim Khan and Javed Akhtar."
9,"These include some ground beetles (Carabidae) and some true weevils (Curculionidae), as well as desert- and cave-dwelling species of other families."
