,0
0,"When viewed from below, the thorax is that part from which all three pairs of legs and both pairs of wings arise."
1,"Salim Khan wrote the story, screenplay and script of Zanjeer (1973), and conceived the ""angry young man"" persona of the lead role."
2,"In 1975, he starred in a variety of film genres, from the comedy Chupke Chupke and the crime drama Faraar to the romantic drama Mili."
3,"In the Permian Triassic extinction event at the end of the Permian, some 30% of all insect species became extinct, so the fossil record of insects only includes beetles from the Lower Triassic 220 mya."
4,Different species use different pheromones.
5,"It is with this last name that Amitabh debuted in films and for all other practical purposes, Bachchan has become the surname for all of his immediate family."
6,Most extant beetle families appear to have arisen in the Cretaceous.
7,"According to Salim Khan, they ""strongly felt that Amitabh was the ideal casting for Zanjeer""."
8,"The general anatomy of a beetle is quite uniform and typical of insects, although there are several examples of novelty, such as adaptations in water beetles which trap air bubbles under the elytra for use while diving."
9,"The next year, he played the role of a grumpy father suffering from chronic constipation in the critically acclaimed Piku which was also one of the biggest hits of 2015."
