,0
0,"The RSS assigned him to the BJP in 1985 and he held several positions within the party hierarchy until 2001, rising to the rank of general secretary."
1,"The film became a major hit at the box office in 1975, ranking in at number four."
2,"His father was a poet, who was fluent in Awadhi and Urdu.Bachchan was initially named Inquilaab, inspired by the phrase Inquilab Zindabad (which translates into English as ""Long live the revolution"") popularly used during the Indian independence struggle."
3,"He has been a narrator, a playback singer, and presenter for numerous programmes."
4,Bachchan continued to host KBC until 2017.
5,"He earned his first Filmfare Award nomination for Best Actor, with Filmfare later considering this one of the most iconic performances of Bollywood history."
6,Denness found Sachin Tendulkar guilty of ball tampering charges and handed him a one Test match ban.
7,"In their tour opener, Australia faced the then Ranji Champions Mumbai at the Brabourne Stadium in a three-day first class match."
8,"In Australia, the Koonwarra fossil beds of the Korumburra group, South Gippsland, Victoria, are noteworthy."
9,"In interviews, Modi has described visiting Hindu ashrams founded by Swami Vivekananda: the Belur Math near Kolkata, followed by the Advaita Ashrama in Almora and the Ramakrishna Mission in Rajkot."
