,0
0,"The bands US distributors, London Records, declined to release ""Little Red Rooster"" as a single."
1,"In April 2014, shortly before the national elections that swept him to power, Modi publicly affirmed that he was married and his spouse was Jashodaben; the couple has remained married, but estranged.Modi spent the ensuing two years travelling across Northern and North-eastern India, though few details of where he went have emerged."
2,"Modi was barred from entering the United States by the State Department, in accordance with the recommendations of the Commission on International Religious Freedom formed under the aegis of the International Religious Freedom Act, the only person denied a US visa under this law."
3,"Some beetles, such as typical members of the families Meloidae and Rhipiphoridae, go further, undergoing hypermetamorphosis in which the first instar takes the form of a triungulin."
4,"The hind legs of some beetles, such as flea beetles (within Chrysomelidae) and flea weevils (within Curculionidae), have enlarged femurs that help them leap."
5,The first species where both larvae and adults are adapted to an aquatic lifestyle are found.
6,"Rachel Saltz wrote for The New York Times, ""Piku,"" an offbeat Hindi comedy, would have you contemplate the intestines and mortality of one Bhashkor Banerji and the actor who plays him, Amitabh Bachchan."
7,"The single ""The Last Time"", released in February, was the first Jagger/Richards composition to reach number 1 on the UK charts; it reached number 9 in the US."
8,"It was during this period they were first introduced on stage as ""The Greatest Rock and Roll Band in the World"".The band continued to release commercially successful albums through the 1970s and early 1980s, including Some Girls (1978) and Tattoo You (1981), the two best-sellers in their discography."
9,By necessity he joined with booking agent Eric Easton to secure record financing and assistance booking venues.
