,0
0,All of them were successful at the box office.
1,"The album Aftermath, released in the late spring of 1966, was the first LP to be composed entirely of Jagger/Richards songs; it reached number 1 in the UK and number 2 in the US."
2,"Allegations of abuse of power, corruption and poor administration were made, and Patels standing had been damaged by his administrations handling of the earthquake in Bhuj in 2001."
3,"When asked by a journalist for the bands name, Jones saw a Muddy Waters LP lying on the floor; one of the tracks was ""Rollin Stone""."
4,He promoted the Rolling Stones as the nasty counterpoint to the Beatles by having the band pose unsmiling on the cover of their first album.
5,"In December 2012, Tendulkar announced his retirement from ODIs."
6,Their material included the Chicago blues as well as Chuck Berry and Bo Diddley songs.
7,"He was dismissed without scoring in one of the two one-day games he played, and scored 36 in the other."
8,After the elections Vajpayee called the violence in Gujarat a reason for the BJPs electoral defeat and said it had been a mistake to leave Modi in office after the riots.Questions about Modis relationship with Muslims were also raised by many Western nations during his tenure as chief minister.
9,"Well known Indian critic Rajeev Masand wrote on his website, ""Bachchan is pretty terrific as Bhashkor, who reminds you of that oddball uncle that you nevertheless have a soft spot for."
