,0
0,"By 2007, the band had four of the top five highest-grossing concert tours of all time: Voodoo Lounge Tour (1994 ), Bridges to Babylon Tour (1997 ), Licks Tour (2002 ) and A Bigger Bang (2005 )."
1,The film was based on the hijacking incident of the Indian Airlines Flight 814.
2,"During this period, known as ""The Emergency"", many of her political opponents were jailed and opposition groups were banned."
3,"In the ODI Series against Australia in October 2007 Tendulkar was the leading Indian run scorer with 278 runs.Tendulkar was dismissed seven times in 2007 between 90 and 100, including three times at 99, leading some to suggestions that he struggles to cope with nervousness in this phase of his innings."
4,Such a bubble may be contained under the elytra or against the body by specialized hydrophobic hairs.
5,"[""['bNarendra Damodardas Modi (Gujarati pronunciation: [xcbx88nxc9x99xc9xbeendrxc9x99 dxc9x91modxc9x99xc9xbexcbx88dxc9x91s xcbx88modixcbx90] (listen); born 17 September 1950) is an Indian politician serving as the 14th and current Prime Minister of India since 2014."", 'He was the Chief Minister of Gujarat from 2001 to 2014 and is the Member of Parliament for Varanasi."
6,The band parted ways with Oldham during the sessions.
7,"Air enters the body through spiracles, and circulates within the haemocoel in a system of tracheae and tracheoles, through whose walls the gases can diffuse.Diving beetles, such as the Dytiscidae, carry a bubble of air with them when they dive."
8,"Tendulkars performance through the years 1994  coincided with his physical peak, in his early twenties."
9,"Tendulkar played 664 international cricket matches in total, scoring 34,357 runs.In 2019, Tendulkar was inducted into the ICC Cricket Hall of Fame."
