,0
0,"The bands US distributors, London Records, declined to release ""Little Red Rooster"" as a single."
1,"Bachchan embraces the characters many idiosyncrasies, never once slipping into caricature while all along delivering big laughs thanks to his spot-on comic timing."
2,"In 2012, the band celebrated its 50th anniversary."
3,"Public irrigation measures in central and southern Gujarat, such as the Sardar Sarovar Dam, were less successful."
4,"That year, he started filming for the swashbuckling action adventure film Thugs Of Hindostan with Aamir Khan, Katrina Kaif and Fatima Sana Shaikh which released in November 2018."
5,"Bachchan was slated to play a supporting role in his first international film, Shantaram, directed by Mira Nair and starring Hollywood actor Johnny Depp in the lead."
6,"Modi completed his higher secondary education in Vadnagar in 1967, where a teacher described him as an average student and a keen debater, with interest in theatre."
7,"Though he scored 141 not out, West Indies won the rain-affected match by the D/L method."
8,"Bachchans portrayal of the wronged hero fighting a crooked system and circumstances of deprivation in films like Zanjeer, Deeewar, Trishul, Kaala Patthar and Shakti resonated with the masses of the time, especially the youth who harboured a simmering discontent owing to social ills such as poverty, hunger, unemployment, corruption, social inequality and the brutal excesses of The Emergency."
9,It won him his third National Film Award for Best Actor and fifth Filmfare Best Actor Award.
