,0
0,Jones trial took place in November 1967.
1,"In 2007 Modi authored Karmayog, a 101-page booklet discussing manual scavenging."
2,"However, there are only a few fossils from North America before the middle Permian, although both Asia and North America had been united to Euramerica."
3,Many beetle groups are brightly and attractively coloured making them objects of collection and decorative displays.
4,"Jones, Jagger, Richards, Stewart, and Taylor played a gig billed as ""the Rollin Stones"" on 12 July 1962, at the Marquee Club in London."
5,"The first rehearsal included guitarist Geoff Bradford and vocalist Brian Knight, both of whom decided not to join the band."
6,"Although early protests by farmers ended when those who benefited found that their electricity supply had stabilised, according to an assessment study corporations and large farmers benefited from the policy at the expense of small farmers and labourers."
7,"Fossils from this time have been found in Asia and Europe, for instance in the red slate fossil beds of Niedermoschel near Mainz, Germany."
8,"In 2005, Bachchan lent his voice to the Oscar-winning French documentary March of the Penguins, directed by Luc Jacquet.He also has done voice-over work for the following movies: Bhuvan Shome (1969) Bawarchi (1972) Balika Badhu (1975) Tere Mere Sapne (1996) Hello Brother (1999) Lagaan (2001) Parineeta (2005) Jodhaa Akbar (2008) Swami (2007) Zor Lagaa Ke...Haiya!"
9,(2015) used eight nuclear genes for 367 species from 172 of 183 Coleopteran families.
