,0
0,"Modi left home after finishing high-school in part due to an arranged marriage to Jashodaben Chimanlal, which he abandoned and publicly acknowledged only many decades later."
1,The first jewel beetles (e.g.
2,"The government also passed a bill increasing the control that it had over the appointment of judges, and reducing that of the judiciary.In December 2014 Modi abolished the Planning Commission, replacing it with the National Institution for Transforming India, or NITI Aayog."
3,"He followed with a 42 in the second One-Day International against Pakistan on 11 February 2006, and then a 95 in hostile, seaming conditions on 13 February 2006 in Lahore, which set up an Indian victory."
4,"On 31 July, the appeals court overturned Richards conviction, and reduced Jaggers sentence to a conditional discharge."
5,"Soon after, Jagger, Taylor and Richards left Blues Incorporated to join Jones and Stewart."
6,"Jagger said that Jones was ""not psychologically suited to this way of life""."
7,"Up until then it had been as though London existed in a beautiful space where you could do anything you wanted."""
8,"Many have the two elytra fused together, forming a solid shield over the abdomen."
9,"After L. K. Advani became president of the BJP in 1986, the RSS decided to place its members in important positions within the BJP; Modis work during the Ahmedabad election led to his selection for this role, and Modi was elected organising secretary of the BJPs Gujarat unit later in 1987.Modi rose within the party and was named a member of the BJPs National Election Committee in 1990, helping organise L. K. Advanis 1990 Ram Rath Yatra in 1990 and Murli Manohar Joshis 1991  Ekta Yatra (Journey for Unity)."
