,0
0,"They have released 30 studio albums, 23 live albums and numerous compilations."
1,"The Rolling Stones Rock and Roll Circus, which originally began as an idea about ""the new shape of the rock-and-roll concert tour"", was filmed at the end of 1968."
2,"According to Jagger, ""We werent actually following James Brown because there was considerable time between the filming of each section."
3,"Ajit told Achrekar that he was feeling self-conscious due to the coach observing him, and was not displaying his natural game."
4,"Around 100,000 people came to support India during the initial four days of the tournament, breaking a 63-year-old record for aggregate Test attendance record."
5,"Shortly afterwards, the RSS was banned."
6,"Modi was appointed general secretary of the ""Gujarat Lok Sangharsh Samiti"", an RSS committee co-ordinating opposition to the Emergency in Gujarat."
7,"The fiasco and the consequent legal battles surrounding ABCL and various entities after the event, coupled with the fact that ABCL was reported to have overpaid most of its top-level managers, eventually led to its financial and operational collapse in 1997."
8,"Set 310 runs to win, Australia were cruising at 203 for 3 in the 31st over when Tendulkar turned the match for India, taking the wickets of Michael Bevan, Steve Waugh, Darren Lehmann, Tom Moody and Damien Martyn for 32 runs in 10 overs."
9,"While awaiting the appeal hearings, the band recorded a new single, ""We Love You"", as a thank you for their fans loyalty."
