,0
0,"His father, Ramesh Tendulkar, was a well-known Marathi novelist & poet and his mother, Rajni, worked in the insurance industry."
1,Modi has attempted to improve efficiency in the bureaucracy; he has centralised power by abolishing the Planning Commission.
2,"The social policies of the government generally did not benefit Muslims, Dalits, and Adivasis, and generally increased social inequalities."
3,"He finished the series with a match winning 117 not out off 120 balls in the first final, and 91 runs in the second final."
4,"When the band appeared on the variety show The Hollywood Palace, that weeks guest host, Dean Martin, mocked both their hair and their performance."
5,"Taking advantage of this resurgence, Amitabh began endorsing a variety of products and services, appearing in many television and billboard advertisements."
6,"The largest of all families, the Curculionidae (weevils), with some 83,000 member species, belongs to this order."
7,Some aquatic beetle species may use antennae for gathering air and passing it under the body whilst submerged.
8,The film evoked a favourable response from critics and audiences alike.
9,The presence of elytra and wings does not always indicate that the beetle will fly.
