,0
0,"As a part-time bowler, he dismissed an exhausted centurion, Matthew Hayden in the tri-series final."
1,"Public irrigation measures in central and southern Gujarat, such as the Sardar Sarovar Dam, were less successful."
2,"Soon after the company was launched in 1996, the first film it produced was Tere Mere Sapne, which was a moderate success and launched the careers of actors like Arshad Warsi and southern film star Simran.In 1997, Bachchan attempted to make his acting comeback with the film Mrityudata, produced by ABCL."
3,"That year, he started filming for the swashbuckling action adventure film Thugs Of Hindostan with Aamir Khan, Katrina Kaif and Fatima Sana Shaikh which released in November 2018."
4,"Other soft wing beetles include the net-winged beetle Calopteron discrepans, which has brittle wings that rupture easily in order to release chemicals for defence.Beetles flight wings are crossed with veins and are folded after landing, often along these veins, and stored below the elytra."
5,"In some species, the pupa may be enclosed in a cocoon constructed by the larva towards the end of its final instar."
6,"Despite these complications, the Rolling Stones toured Europe in March and April 1967."
7,"Jagger read an excerpt from Shelleys poem Adonaxc3xafs, an elegy written on the death of his friend John Keats."
8,"Whirligig beetles (Gyrinidae) were moderately diverse, although other early beetles (e.g."
9,"In 1983, he played a triple role in Mahaan which was not as successful as his previous films."
