,0
0,Most extant beetle families appear to have arisen in the Cretaceous.
1,"tt tt  The oldest known fossil insect that unequivocally resembles a Coleopteran is from the Lower Permian Period about 270 million years ago (mya), though these members of the family Tshekardocoleidae have 13-segmented antennae, elytra with more fully developed venation and more irregular longitudinal ribbing, and abdomen and ovipositor extending beyond the apex of the elytra."
2,Most are in Europe and Asia and belong to the temperate climate zone during the Cretaceous.
3,Elateroidea) appeared.
4,Zakia Jaffri filed a protest petition in response.
5,"However, sociologists have pointed out that the growth rate under the 1992  INC government was 12.9 percent."
6,"Modi had an early gift for rhetoric in debates, and his teachers and students noted this."
7,"In July 2007 Modi completed 2,063 consecutive days as chief minister of Gujarat, making him the longest-serving holder of that post, and the BJP won 122 of 182 state-assembly seats in that years election."
8,"In 2013, the Wharton India Economic Forum (WIEF) at the Wharton School of the University of Pennsylvania cancelled a keynote video-conference speech by Modi following protests by Indian-Americans."
9,"Digestion takes place mostly in the anterior midgut, although in predatory groups like the Carabidae, most digestion occurs in the crop by means of midgut enzymes."
