,0
0,"Bachchan was soon discovered by screenwriter duo Salim-Javed, consisting of Salim Khan and Javed Akhtar."
1,It was well received at the time of release and reached number 3 in the UK and number 5 in the US.
2,"After the match, which India won, Dravid said that the matter had been discussed internally and put to rest.A tennis elbow injury then took its toll on Tendulkar, leaving him out of the side for most of the year, coming back only for the last two Tests when Australia toured India in 2004."
3,"The name of the taxonomic order, Coleoptera, comes from the Greek koleopteros (xcexbaxcexbfxcexbbxcexb5xcfx8cxcfx80xcfx84xcexb5xcfx81xcexbfxcfx82), given to the group by Aristotle for their elytra, hardened shield-like forewings, from koleos, sheath, and pteron, wing."
4,The abdomen is everything posterior to the thorax.
5,"However, there are a few exceptions, such as in Eastern Europe."
6,"His political career, however, was short-lived: he resigned after three years, calling politics a cesspool."
7,"Paa, which released at the end of 2009 was a highly anticipated project as it saw him playing his own son Abhisheks Progeria-affected 13-year-old son, and it opened to favourable reviews, particularly towards Bachchans performance and was one of the top-grossing films of 2009."
8,"Despite the BJPs shift away from explicit Hindutva, Modis election campaign in 2007 and 2012 contained elements of Hindu nationalism."
9,The deal also let the band use non-Decca recording studios.
