,0
0,"Nevertheless, the final cut was without the planned horn overdubs."
1,"Issued in the summer of 1965, it was their fourth UK number 1 and their first in the US where it spent four weeks at the top of the Billboard Hot 100."
2,The Show also grabbed all the major Awards for its category.
3,The film was the highest-grossing film of that year.
4,"In 1987, at the age of 14, he attended the MRF Pace Foundation in Madras (now Chennai) to train as a fast bowler, but Australian fast bowler Dennis Lillee, who took a world record 355 Test wickets, was unimpressed, suggesting that Tendulkar focus on his batting instead."
5,One project that did particularly well for Bachchan was Sanjay Leela Bhansalis Black (2005).
6,"Stewart left the official line-up, but remained road manager and touring keyboardist."
7,"The fiasco and the consequent legal battles surrounding ABCL and various entities after the event, coupled with the fact that ABCL was reported to have overpaid most of its top-level managers, eventually led to its financial and operational collapse in 1997."
8,"Musicologist Robert Palmer attributes the endurance of the Rolling Stones to their being ""rooted in traditional verities, in rhythm-and-blues and soul music"", while ""more ephemeral pop fashions have come and gone"".The Rolling Stones were inducted into the Rock and Roll Hall of Fame in 1989 and the UK Music Hall of Fame in 2004."
9,"Tendulkar further enhanced his reputation as a future great during the 1991  tour of Australia held before the 1992 Cricket World Cup, that included an unbeaten 148 in the third Test at Sydney, making him the youngest batsman to score a century in Australia."
