,0
0,"Of Stewarts decision, Oldham later said, ""Well, he just doesnt look the part, and six is too many for [fans] to remember the faces in the picture."""
1,The state government stated later that 790 Muslims and 254 Hindus were killed.
2,"In the subsequent one-day series against England, Tendulkar was the leading run scorer from India with an average of 53.42."
3,"He had previously been named ""Player of the Tournament"" at the 2003 edition of the tournament, held in South Africa."
4,Jones trial took place in November 1967.
5,"Bachchan also made an appearance in a Hollywood film, Baz Luhrmanns The Great Gatsby (2013), in which he played a non-Indian Jewish character, Meyer Wolfsheim."
6,"However, the increase of the number of beetle families during the Cretaceous does not correlate with the increase of the number of angiosperm species."
7,ABCLs strategy was to introduce products and services covering an entire cross-section of Indias entertainment industry.
8,"Taking advantage of this resurgence, Amitabh began endorsing a variety of products and services, appearing in many television and billboard advertisements."
9,"He secured the Man of the Match award.In the One-Day International Commonwealth Bank Tri-Series involving India, Sri Lanka and Australia, Tendulkar became the only batsman to complete 16,000 runs in ODIs."
