,0
0,"During the riots, police officers often did not intervene in situations where they were able."
1,"Modi was barred from entering the United States by the State Department, in accordance with the recommendations of the Commission on International Religious Freedom formed under the aegis of the International Religious Freedom Act, the only person denied a US visa under this law."
2,"The other, released on 15 August 1975, was Sholay, which became the highest-grossing film ever in India at the time, in which Bachchan played the role of Jaidev."
3,"Public irrigation measures in central and southern Gujarat, such as the Sardar Sarovar Dam, were less successful."
4,"Musicologist Robert Palmer attributes the endurance of the Rolling Stones to their being ""rooted in traditional verities, in rhythm-and-blues and soul music"", while ""more ephemeral pop fashions have come and gone"".The Rolling Stones were inducted into the Rock and Roll Hall of Fame in 1989 and the UK Music Hall of Fame in 2004."
5,"It featured the lead single ""Street Fighting Man"" (which addressed the political upheavals of May 1968) and ""Sympathy for the Devil""."
6,"Its psychedelic sound was complemented by the cover art, which featured a 3D photo by Michael Cooper, who had also photographed the cover of Sgt Peppers."
7,"Wisden described his innings as ""a disciplined display of immense maturity"" and also wrote: He looked the embodiment of Indias famous opener, Gavaskar, and indeed was wearing a pair of his pads."
8,"Thereafter Bachchan started supporting the Samajwadi Party, the political party to which Amar Singh belonged."
9,The boom in cotton production and its semi-arid land use led to Gujarats agricultural sector growing at an average rate of 9.6 percent from 2001 to 2007.
