,0
0,"By contrast, Wyman says, ""Our reputation and image as the Bad Boys came later, completely there, accidentally."
1,"It is with this last name that Amitabh debuted in films and for all other practical purposes, Bachchan has become the surname for all of his immediate family."
2,"Among the people he met in this role was trade unionist and socialist activist George Fernandes, as well as several other national political figures."
3,Richards said of the album:  There is a change between material on Satanic Majesties and Beggars Banquet.
4,"Close to the Upper Jurassic, the Cupedidae decreased, but the diversity of the early plant-eating species increased."
5,"Because of the pandemonium surrounding the Stones, Sullivan banned them from his show."
6,"Although Modis government had announced that it would seek the death penalty for Kodnani on appeal, it reversed its decision in 2013."
7,"He later attended Kirori Mal College, University of Delhi."
8,"Shortly afterwards, the RSS was banned."
9,"Development in Gujarat was generally limited to the urban middle class, and citizens in rural areas or from lower castes were increasingly marginalised."
