,0
0,"The group also continues to sell out venues, with their recent No Filter Tour running for two years and concluding in August 2019."
1,"Beyond the Indian subcontinent, he also has a large overseas following in markets including Africa (such as South Africa), the Middle East (especially Egypt), United Kingdom, Russia and parts of the United States.Bachchan has won numerous accolades in his career, including four National Film Awards as Best Actor, Dadasaheb Phalke Award as lifetime achievement award and many awards at international film festivals and award ceremonies."
2,"The worst was yet to come as Professor Ramesh Tendulkar, Sachins father, died in the middle of the 1999 Cricket World Cup."
3,"The abdomen is the section behind the metathorax, made up of a series of rings, each with a hole for breathing and respiration, called a spiracle, composing three different segmented sclerites: the tergum, pleura, and the sternum."
4,"They split the Adephaga into 2 clades, Hydradephaga and Geadephaga, broke up the Cucujoidea into 3 clades, and placed the Lymexyloidea within the Tenebrionoidea."
5,The very large number of beetle species poses special problems for classification.
6,Tendulkar scored his 19th Test century in the second Test and the match resulted in a draw with Sri Lanka.
7,"Shootout at Lokhandwala did well at the box office and was declared a hit in India, while Cheeni Kum picked up after a slow start and was a success."
8,"Besides school cricket, he also played club cricket, initially representing John Bright Cricket Club in Bombays premier club cricket tournament, the Kanga League, and later went on to play for the Cricket Club of India."
9,"In the Elateridae, the larvae are liquid feeders that extraorally digest their food by secreting enzymes."
