,0
0,He was the only Indian batsman to perform well in the semi-final against Sri Lanka.
1,"On the treatment of the man responsible for the raid, he later added: ""As I heard it, he never walked the same again."
2,Taylor left in 1974 and was replaced in 1975 by Ronnie Wood who has since remained.
3,ABCLs strategy was to introduce products and services covering an entire cross-section of Indias entertainment industry.
4,"Modi was also involved with creating a network of safe houses for individuals wanted by the government, and in raising funds for political refugees and activists."
5,"[""['bAmitabh Bachchan (pronounced [xc9x99mxc9xaaxcbx88taxcbx90bxcaxb1 xcbx88bxc9x99txcax83xcbx90xc9x99n]; born Inquilaab Srivastava; 11 October 1942) is an Indian film actor, film producer, television host, occasional playback singer and former politician."", 'He first gained popularity in the early 1970s for films such as Zanjeer, Deewaar and Sholay, and was dubbed Indias ""angry young man"" for his on-screen roles in Bollywood."
6,"He wanted to make the Stones ""a raunchy, gamy, unpredictable bunch of undesirables"" and to ""establish that the Stones were threatening, uncouth and animalistic""."
7,"Digestion takes place mostly in the anterior midgut, although in predatory groups like the Carabidae, most digestion occurs in the crop by means of midgut enzymes."
8,"Bachchan was slated to play a supporting role in his first international film, Shantaram, directed by Mira Nair and starring Hollywood actor Johnny Depp in the lead."
9,"The resignation followed the implication of Bachchan and his brother in the ""Bofors scandal"" by a newspaper, which he vowed to take to court."
