,0
0,"(""This film will flop"")."
1,"The film is currently ""shelved"" indefinitely.Vivek Sharmas Bhoothnath, in which he plays the title role as a ghost, was released on 9 May 2008."
2,"The bands US distributors, London Records, declined to release ""Little Red Rooster"" as a single."
3,"Bachchan has continued to do favours for the Samajwadi Party, including appearing in advertisements and political campaigns."
4,Pheromones from species of Rutelinae are produced from epithelial cells lining the inner surface of the apical abdominal segments; amino acid-based pheromones of Melolonthinae are produced from eversible glands on the abdominal apex.
5,Three of the five Stones now faced drug charges.
6,"He narrowly missed out on playing alongside his idol Gavaskar, who had retired from all forms of cricket after the 1987 Cricket World Cup."
7,Following Parwana were several films including Reshma Aur Shera (1971).
8,"In the fourth and final Test in Sialkot, he was hit on the nose by a bouncer bowled by Younis, but he declined medical assistance and continued to bat even as he gushed blood from it."
9,"On his next tour, a summer tour to England of 1990, on 14 August, he became the second youngest cricketer to score a Test century as he made 119 not out in the second Test at Old Trafford in Manchester, an innings which contributed to a draw and saved India from certain defeat in the match."
