,0
0,"During the 1980s, the band infighting curtailed their output and they only released two more underperforming albums and did not tour for the rest of the decade."
1,"He also encouraged the press to use provocative headlines such as: ""Would you let your daughter marry a Rolling Stone?"""
2,It was not a great moment really and I would have thought it wasnt a great moment for Andrew either.
3,"When the band appeared on the variety show The Hollywood Palace, that weeks guest host, Dean Martin, mocked both their hair and their performance."
4,"Later in 1963 Oldham and Easton arranged the bands first big UK concert tour as a supporting act for American stars including Bo Diddley, Little Richard and the Everly Brothers."
5,"Musicologist Robert Palmer attributes the endurance of the Rolling Stones to their being ""rooted in traditional verities, in rhythm-and-blues and soul music"", while ""more ephemeral pop fashions have come and gone"".The Rolling Stones were inducted into the Rock and Roll Hall of Fame in 1989 and the UK Music Hall of Fame in 2004."
6,"""Have You Seen Your Mother, Baby, Standing in the Shadow?"""
7,"""In March 1967, while awaiting the consequences of the police raid, Jagger, Richards and Jones took a short trip to Morocco, accompanied by Marianne Faithfull, Jones girlfriend Anita Pallenberg and other friends."
8,"Regent Sound Studios, a mono facility equipped with egg boxes on the ceiling for sound treatment, became their preferred location."
9,"By contrast, Wyman says, ""Our reputation and image as the Bad Boys came later, completely there, accidentally."
