,0
0,"This is followed by the midgut, that varies in dimensions between species, with a large amount of cecum, and the hindgut, with varying lengths."
1,"The crowds reaction to Tendulkars dismissal was to throw objects at Akhtar, and the players were taken off the field."
2,"Some families contain tens of thousands of species, and need to be divided into subfamilies and tribes."
3,"The Modi government imposed a curfew in 26 major cities, issued shoot-at-sight orders and called for the army to patrol the streets, but was unable to prevent the violence from escalating."
4,"On 19 March 2006, after being dismissed for only one run against England in the first innings of the third Test in his home ground, Wankhede, Tendulkar was booed off the ground by a section of the crowd, the first time that he had ever faced such flak."
5,"In the third Test at the WACA cricket ground in Perth, Sachin was instrumental in Indias first innings score of 330, scoring a well-compiled 71."
6,"In December, after appealing the original prison sentence, Jones received a xc2xa31,000 fine and was put on three years probation, with an order to seek professional help.The band released Their Satanic Majesties Request, which reached number 3 in the UK and number 2 in the US, in December 1967."
7,"The largest of all families, the Curculionidae (weevils), with some 83,000 member species, belongs to this order."
8,The Sardar Sarovar project only irrigated 4 % of the area intended.
9,"On 1 January 1964, the Stones ""I Wanna Be Your Man"" was the first song ever performed on the BBCs Top of the Pops."
