,0
0,A spell in prison ... will certainly give you room for thought ...
1,"Despite opposition from the election commissioner, who said that a number of voters were still displaced, Modi succeeded in advancing the election to December 2002."
2,Zakia Jaffri filed a protest petition in response.
3,"In a 1972 interview, Wyman stated, ""We were the first pop group to break away from the whole Cliff Richard thing where the bands did little dance steps, wore identical uniforms and had snappy patter."
4,Some beetles have lost the ability to fly.
5,"In June 1975, Prime Minister Indira Gandhi declared a state of emergency in India which lasted until 1977."
6,Independent sources put the death toll at over 2000.
7,"Tendulkar, who was pushed to bat lower down the order had scores of 7 against Bangladesh, 57 not out against Bermuda and 0 against Sri Lanka."
8,"He is the first prime minister outside of the Indian National Congress to win two consecutive terms with a full majority and the second to complete five years in office after Atal Bihari Vajpayee.Born to a Gujarati family in Vadnagar, Modi helped his father sell tea as a child and has said he later ran his own stall."
9,"It showed only a marginal improvement in rates of infant mortality, and its position with respect to individual consumption declined."
