,0
0,"In June 1962 the addition of the drummer Tony Chapman completed the line-up of Jagger, Richards, Jones, Stewart and Taylor."
1,"He returned to Gujarat a short while later, and was assigned by the RSS to the BJP in 1985."
2,Modis administration has tried to raise foreign direct investment in the Indian economy and reduced spending on healthcare and social welfare programmes.
3,"Soon after the company was launched in 1996, the first film it produced was Tere Mere Sapne, which was a moderate success and launched the careers of actors like Arshad Warsi and southern film star Simran.In 1997, Bachchan attempted to make his acting comeback with the film Mrityudata, produced by ABCL."
4,It was Andrew Oldhams last venture as the Rolling Stones producer.
5,"The number of species in each group (mainly superfamilies) is shown in parentheses, and boldface if over 10,000."
6,"Two days after the article was published Jagger filed a writ for libel against the News of the World.A week later on 12 February, Sussex police, tipped off by the paper, which had been tipped off by his chauffeur raided a party at Keith Richards home, Redlands."
7,"As a part-time bowler, he dismissed an exhausted centurion, Matthew Hayden in the tri-series final."
8,"Several scholars have described the violence as a pogrom, while others have called it an example of state terrorism."
9,"The film was a huge success and one of the highest-grossing films of that year, breaking Bachchans dry spell at the box office and making him a star."
