,0
0,Bachchan was eventually found not guilty of involvement in the ordeal.
1,"""Mothers Little Helper"", released in June 1966, reached number 8 in the US; it was one of the first pop songs to discuss the issue of prescription drug abuse."
2,"However, species from the families Cupedidae and Schizophoroidae are not present at this site, whereas they dominate at other fossil sites from the Lower Triassic such as Khey-Yaga, Russia, in the Korotaikha Basin."
3,"As a part-time bowler, he dismissed an exhausted centurion, Matthew Hayden in the tri-series final."
4,"Beyond the Indian subcontinent, he also has a large overseas following in markets including Africa (such as South Africa), the Middle East (especially Egypt), United Kingdom, Russia and parts of the United States.Bachchan has won numerous accolades in his career, including four National Film Awards as Best Actor, Dadasaheb Phalke Award as lifetime achievement award and many awards at international film festivals and award ceremonies."
5,"Under Modi, Gujarat topped the World Banks ""ease of doing business"" rankings among Indian states for two consecutive years."
6,"Controversy over the design of the album cover, which featured a public toilet with graffiti covering the walls of a stall, delayed the albums release for nearly six months."
7,"In 2012 Maya Kodnani, a minister in Modis government from 2007 to 2009, was convicted by a lower court for participation in the Naroda Patiya massacre during the 2002 riots."
8,It was Andrew Oldhams last venture as the Rolling Stones producer.
9,"Predatory ground beetles (Carabidae) and rove beetles (Staphylinidae) began to distribute into different patterns; the Carabidae predominantly occurred in the warm regions, while the Staphylinidae and click beetles (Elateridae) preferred temperate climates."
