,0
0,"Tendulkar fell amid a batting collapse and the match referee, Clive Lloyd, awarded Sri Lanka the match after the crowd began rioting and throwing litter onto the field.After the World Cup, in the same year against Pakistan at Sharjah, Indian captain Mohammed Azharuddin was going through a lean patch."
1,"His ancestors on his fathers side came from a village called Babupatti, in the Raniganj tehsil, in the Pratapgarh district, in the present-day state of Uttar Pradesh, in India."
2,"During the Jurassic (210 to 145 mya), there was a dramatic increase in the diversity of beetle families, including the development and growth of carnivorous and herbivorous species."
3,"As Chief Minister, Modi favoured privatisation and small government, which was at odds with the philosophy of the RSS, usually described as anti-privatisation and anti-globalisation."
4,The tour gave the band the opportunity to hone their stagecraft.
5,"Tendulkar flew back to India to attend the final rituals of his father, missing the match against Zimbabwe."
6,"[""['bThe Rolling Stones are an English rock band formed in London in 1962."", 'The first stable line-up consisted of bandleader Brian Jones (guitar, harmonica, keyboards), Mick Jagger (lead vocals, harmonica), Keith Richards (guitar, vocals), Bill Wyman (bass guitar), Charlie Watts (drums), and Ian Stewart (piano)."
7,The coxae of the legs are usually located recessed within a coxal cavity.
8,"He also made an unbeaten century in the Irani Trophy match against Delhi at the start of the 1989  season, playing for the Rest of India."
9,"The government also passed a bill increasing the control that it had over the appointment of judges, and reducing that of the judiciary.In December 2014 Modi abolished the Planning Commission, replacing it with the National Institution for Transforming India, or NITI Aayog."
