,0
0,"Because there are so many species, identification is quite difficult, and relies on attributes including the shape of the antennae, the tarsal formulae and shapes of these small segments on the legs, the mouthparts, and the ventral plates (sterna, pleura, coxae)."
1,"Both families are sensitive to ultrasonic frequencies, with strong evidence indicating they function to detect the presence of bats by their ultrasonic echolocation."
2,"In response to a petition from Zakia Jafri (widow of Ehsan Jafri, who was killed in the Gulbarg Society massacre), in April 2009 the court also asked the SIT to investigate the issue of Modis complicity in the killings."
3,"The article claimed this was Mick Jagger, but it turned out to be a case of mistaken identity; the reporter had in fact been eavesdropping on Brian Jones."
4,"A couple of months later, former Indian batsman Sunil Gavaskar gave him a pair of his own ultra light pads and consoled him to not get disheartened for not getting the Bombay Cricket Associations ""Best junior cricket award"" (He was 14 years that time)."
5,"Bachchan had, however, pleaded that he had mortgaged his bungalow to raise funds for his company.Bachchan attempted to revive his acting career, and eventually had commercial success with Bade Miyan Chote Miyan (1998) and Major Saab (1998), and received positive reviews for Sooryavansham (1999), but other films such as Lal Baadshah (1999) and Hindustan Ki Kasam (1999) were box office failures."
6,"Other soft wing beetles include the net-winged beetle Calopteron discrepans, which has brittle wings that rupture easily in order to release chemicals for defence.Beetles flight wings are crossed with veins and are folded after landing, often along these veins, and stored below the elytra."
7,That same year he played a double role in the hit Adalat as father and son.
8,was released in September 1966 and reached number 5 in the UK and number 9 in the US.
9,"A second season followed in 2005 but its run was cut short by Star Plus when Bachchan fell ill in 2006.In 2009, Bachchan hosted the third season of the reality show Bigg Boss.In 2010, Bachchan hosted the fourth season of KBC."
