,0
0,"In response to a petition from Zakia Jafri (widow of Ehsan Jafri, who was killed in the Gulbarg Society massacre), in April 2009 the court also asked the SIT to investigate the issue of Modis complicity in the killings."
1,"Tendulkar further enhanced his reputation as a future great during the 1991  tour of Australia held before the 1992 Cricket World Cup, that included an unbeaten 148 in the third Test at Sydney, making him the youngest batsman to score a century in Australia."
2,"The incident escalated to include sports journalists accusing Denness of racism, and led to Denness being barred from entering the venue of the third Test match."
3,Richards recorded the guitar riff that drives the song with a fuzzbox as a scratch track to guide a horn section.
4,Bachchan then played the leading role in the film Majboor.
5,"When the band went to New York to perform the numbers on The Ed Sullivan Show in January, they were ordered to change the lyrics of the refrain of ""Lets Spend the Night Together"" to ""lets spend some time together"".In early 1967, Jagger, Richards and Jones began to be hounded by authorities over their recreational drug use, after News of the World ran a three-part feature entitled ""Pop Stars and Drugs: Facts That Will Shock You""."
6,"A Granada Television production team filmed the performance, which was broadcast on British television as The Stones in the Park."
7,"Rolling Stone magazine ranked them fourth on the ""100 Greatest Artists of All Time"" list and their estimated record sales is 200 million."
8,"Salim-Javed soon discovered Bachchan and ""saw his talent, which most makers didnt."
9,"In 1984, Bachchan took a break from acting and briefly entered politics in support of a long-time family friend, Rajiv Gandhi."
