,0
0,"The beetles exoskeleton is made up of numerous plates, called sclerites, separated by thin sutures."
1,"The song was accompanied by one of the first official music videos, directed by Peter Whitehead.January 1967 saw the release of Between the Buttons, which reached number 3 in the UK and number 2 in the US."
2,"Controversy over the design of the album cover, which featured a public toilet with graffiti covering the walls of a stall, delayed the albums release for nearly six months."
3,"Beetle antennae are primarily organs of sensory perception and can detect motion, odour and chemical substances, but may also be used to physically feel a beetles environment."
4,The Sardar Sarovar project only irrigated 4 % of the area intended.
5,"Lower Cretaceous sites include the Crato fossil beds in the Araripe basin in the Cearxc3xa1, North Brazil, as well as overlying Santana formation; the latter was near the equator at that time."
6,"Despite these complications, the Rolling Stones toured Europe in March and April 1967."
7,It took him 78 ODIs to score his first century.
8,The train carried a large number of Hindu pilgrims returning from Ayodhya after a religious ceremony at the site of the demolished Babri Masjid.
9,Tendulkar was given a suspended ban of one game by Denness in light of alleged ball tampering.
