,0
0,In 2008 Modi offered land in Gujarat to Tata Motors to set up a plant manufacturing the Nano after a popular agitation had forced the company to move out of West Bengal.
1,Bachchan continued to host KBC until 2017.
2,"In a 20-over exhibition game in Peshawar, held in parallel with the bilateral series, Tendulkar made 53 runs off 18 balls, including an over in which he scored 27 runs (6, 4, 0, 6, 6, 6) off leg-spinner Abdul Qadir."
3,"During the campaign, Modi focused on the corruption scandals under the previous INC government, and played on his image as a politician who had created a high rate of GDP growth in Gujarat."
4,The film premiered at the 2007 Toronto International Film Festival on 9 September 2007.
5,"Tendulkar was born at Nirmal Nursing Home in Dadar, Bombay on 24 April 1973 to a Maharashtrian Rajapur Saraswat Brahmin family."
6,"He returned to Gujarat a short while later, and was assigned by the RSS to the BJP in 1985."
7,"Oldham described the first batch as ""soppy and imitative""."
8,"The social policies of the government generally did not benefit Muslims, Dalits, and Adivasis, and generally increased social inequalities."
9,"The US version included the double A-side single ""Lets Spend the Night Together"" and ""Ruby Tuesday"", which went to number 1 in the US and number 3 in the UK."
