,0
0,Both Jagger and Richards were imprisoned at that point but were released on bail the next day pending appeal.
1,"A remake of his biggest hit, Sholay (1975), entitled Ram Gopal Varma Ki Aag, released in August of that same year and proved to be a major commercial failure in addition to its poor critical reception."
2,"The BJP won 115 of the 182 seats, continuing its majority during his tenure and allowing the party to form the government (as it had in Gujarat since 1995)."
3,"He won in both constituencies, defeating Aam Aadmi Party leader Arvind Kejriwal in Varanasi and Madhusudan Mistry of the INC in Vadodara by 570,128 votes."
4,Tendulkar would practice for hours on end in the nets.
5,Many beetle groups are brightly and attractively coloured making them objects of collection and decorative displays.
6,"Selected for Yorkshire as a replacement for the injured Australian fast bowler Craig McDermott, Tendulkar played 16 first-class matches for the county and scored 1070 runs at an average of 46.52."
7,"To the Middle Eastern-influenced ""Paint It, Black"" he added sitar; to the ballad ""Lady Jane"" he added dulcimer and to ""Under My Thumb"" he added marimbas."
8,"These sessions included what would become the Rolling Stones first number 1 hit in the UK, their cover version of Bobby and Shirley Womacks ""Its All Over Now"".The Stones followed the Famous Flames, featuring James Brown, in the theatrical release of the 1964 film T.A.M.I."
9,"On 7 April 2007, the Board of Control for Cricket in India issued a notice to Tendulkar asking for an explanation for his comments made to the media."
