,0
0,"In July 2007 Modi completed 2,063 consecutive days as chief minister of Gujarat, making him the longest-serving holder of that post, and the BJP won 122 of 182 state-assembly seats in that years election."
1,"The band refused to play it at live gigs, and Decca bought only one ad to promote the record."
2,"He returned to form in the last Test scoring 41 and 86, one half century."
3,"In 2000, Bachchan hosted the first season of Kaun Banega Crorepati (KBC), the Indian adaptation of the British television game show, Who Wants to Be a Millionaire?."
4,Jagger and Richards were tried at the end of June.
5,"Since Wymans departure in 1993, Darryl Jones has served as touring bassist."
6,"Summarising academic views on the subject, Martha Nussbaum said: ""There is by now a broad consensus that the Gujarat violence was a form of ethnic cleansing, that in many ways it was premeditated, and that it was carried out with the complicity of the state government and officers of the law."""
7,Taylor left in 1974 and was replaced in 1975 by Ronnie Wood who has since remained.
8,Id grown sick to death of the whole Maharishi guru shit and the beads and bells.
9,"In 2007 Modi authored Karmayog, a 101-page booklet discussing manual scavenging."
