,0
0,He also entered politics for a time in the 1980s.
1,"The sternum is the most widely visible part of the abdomen, being a more or less sclerotized segment."
2,"The film, directed and written by Manoj Kumar, addressed themes of honesty in the face of oppression and financial and emotional hardship and was the top-earning film of 1974."
3,"While he displayed a full repertoire of strokes in compiling his maiden Test hundred, most remarkable were his off-side shots from the back foot."
4,"Though he scored 141 not out, West Indies won the rain-affected match by the D/L method."
5,"Both families are sensitive to ultrasonic frequencies, with strong evidence indicating they function to detect the presence of bats by their ultrasonic echolocation."
6,The performance won Bachchan his fourth National Film Award for Best Actor and his third Filmfare Critics Award for Best Actor.
7,"Bachchan has continued to do favours for the Samajwadi Party, including appearing in advertisements and political campaigns."
8,"Eventually, Bachchan became one of the most successful leading men of the film industry."
9,"In a few families, both the ability to fly and the elytra have been lost, as in the glow-worms (Phengodidae), where the females resemble larvae throughout their lives."
