,0
0,"The Chrysomeloidea diversified around the same time, feeding on a wide array of plant hosts from cycads and conifers to angiosperms."
1,The physical variation of antennae is important for the identification of many beetle groups.
2,"As a part-time bowler, he dismissed an exhausted centurion, Matthew Hayden in the tri-series final."
3,"Tendulkars rise continued when he was the leading run scorer at the 1996 World Cup, scoring two centuries."
4,Beetle families may use antennae in different ways.
5,He also won the 2010 Sir Garfield Sobers Trophy for cricketer of the year at the ICC awards.
6,Chote ki naseeb main jeet nahin hai!
7,"Light production is highly efficient, by oxidation of luciferin catalyzed by enzymes (luciferases) in the presence of adenosine triphosphate (ATP) and oxygen, producing oxyluciferin, carbon dioxide, and light.Tympanal organs or hearing organs consist of a membrane (tympanum) stretched across a frame backed by an air sac and associated sensory neurons, are found in two families."
8,Some beetles have lost the ability to fly.
9,Its not in the small ones destiny!
