,0
0,"The pleura are usually small or hidden in some species, with each pleuron having a single spiracle."
1,"The general anatomy of a beetle is quite uniform, although specific organs and appendages vary greatly in appearance and function between the many families in the order."
2,"Although his surname was Shrivastava, Amitabhs father had adopted the pen name Bachchan (""child-like"" in colloquial Hindi), under which he published all of his works."
3,"On his next tour, a summer tour to England of 1990, on 14 August, he became the second youngest cricketer to score a Test century as he made 119 not out in the second Test at Old Trafford in Manchester, an innings which contributed to a draw and saved India from certain defeat in the match."
4,"His performance was unanimously praised by critics and audiences and won him his second National Film Award for Best Actor, his fourth Filmfare Best Actor Award and his second Filmfare Critics Award for Best Actor."
5,"The Test match success was followed by two consecutive centuries in April 1998 in a Triangular cricket tournament in Sharjah   the first in a must-win game to take India to the finals and then again in the finals, both against Australia."
6,"Around the same time, numerous primitive weevils (e.g."
7,"Several people who voted for the BJP stated that if Modi had not been the prime-ministerial candidate, they would have voted for another party."
8,"However, this book was not circulated that time because of the election code of conduct."
9,"India did not progress to the final, which was won by Pakistan, and refused to participate the next time the championship was held due to increasing political tensions between India and Pakistan.In the Test against Pakistan at Chepauk in 1999, the first of a two-Test series, Sachin scored 136 in the fourth innings with India chasing 271 for victory."
