,0
0,"However, he booked them for an appearance in the following year."
1,The coxae of the legs are usually located recessed within a coxal cavity.
2,He initiated a controversial demonetisation of high-denomination banknotes.
3,"However, at the suggestion of fellow poet Sumitranandan Pant, Harivansh Rai changed the boys name to Amitabh, which, according to a The Times of India article, means ""the light that will never die""."
4,"His father was a poet, who was fluent in Awadhi and Urdu.Bachchan was initially named Inquilaab, inspired by the phrase Inquilab Zindabad (which translates into English as ""Long live the revolution"") popularly used during the Indian independence struggle."
5,"So it was, Right well go and strip this thing down."
6,"In October 2014, Bachchan was summoned by a court in Los Angeles for ""allegedly instigating violence against the Sikh community""."
7,The first species where both larvae and adults are adapted to an aquatic lifestyle are found.
8,"In the Elateridae, the larvae are liquid feeders that extraorally digest their food by secreting enzymes."
9,was released in September 1966 and reached number 5 in the UK and number 9 in the US.
