,0
0,"Bachchans father died in 2003, and his mother in 2007.Bachchan is an alumnus of Sherwood College, Nainital."
1,"In 2000, Amitabh Bachchan appeared in Yash Chopras box-office hit, Mohabbatein, directed by Aditya Chopra."
2,"ABCL was the main sponsor of the 1996 Miss World beauty pageant, Bangalore, but lost millions."
3,"There were a lot of distractions and you always need someone to focus you at that point, that was Andrews job."""
4,"After another Test series defeat, this time by a 0  margin at home against South Africa, Tendulkar resigned, and Sourav Ganguly took over as captain in 2000.During the Indian teams 2007 tour of England, the desire of Rahul Dravid to resign from the captaincy became known."
5,"Javed Akhtar came on board as co-writer, and Prakash Mehra, who saw the script as potentially groundbreaking, as the films director."
6,"Chappell subsequently resigned as coach but said that this affair had no bearing on his decision and that he and Tendulkar were on good terms.At the World Cup in the West Indies, Tendulkar and the Indian cricket team led by Rahul Dravid had a dismal campaign."
7,"1978 is arguably considered his most successful year at the box office since all of his six releases the same year, namely Muqaddar Ka Sikandar, Trishul, Don, Kasme Vaade, Ganga Ki Saugandh and Besharam were massive successes, the former three being the consecutive highest-grossing films of the year, remarkably releasing within a couple of months of each other, a rare feat in Indian cinema.In 1979, Bachchan starred in Suhaag which was the highest earning film of that year."
8,"In some species, the pupa may be enclosed in a cocoon constructed by the larva towards the end of its final instar."
9,"However, as he jumped towards the table, the corner of the table struck his abdomen, resulting in a splenic rupture from which he lost a significant amount of blood."
