,0
0,"In March 2008, the Supreme Court reopened several cases related to the 2002 riots, including that of the Gulbarg Society massacre, and established a Special Investigation Team (SIT) to look into the issue."
1,"He had become a common conversation point in local cricketing circles, where there were suggestions already that he would become one of the greats."
2,"He made 15 runs, being bowled by Waqar Younis, who also made his debut in that match, but was noted for how he handled numerous blows to his body at the hands of the Pakistani pace attack."
3,"In the aftermath of the violence there were widespread calls for Modi to resign as chief minister from within and outside the state, including from leaders of the Dravida Munnetra Kazhagam and the Telugu Desam Party (allies in the BJP-led National Democratic Alliance coalition), and opposition parties stalled Parliament over the issue."
4,"Under Modi, Gujarat topped the World Banks ""ease of doing business"" rankings among Indian states for two consecutive years."
5,His first year as prime minister saw significant centralisation of power relative to previous administrations.
6,He is the youngest recipient to date and the first ever sportsperson to receive the award.
7,His policies during his second term have been credited with reducing corruption in the state.
8,"On his next tour, a summer tour to England of 1990, on 14 August, he became the second youngest cricketer to score a Test century as he made 119 not out in the second Test at Old Trafford in Manchester, an innings which contributed to a draw and saved India from certain defeat in the match."
9,"Azharuddin was credited with saying ""Nahin jeetega!"
