,0
0,"In 1964 two unscientific opinion polls rated the band as Britains most popular group, outranking even the Beatles."
1,A musical partnership began shortly afterwards.
2,Cutler repeated the introduction throughout their 1969 US tour.
3,"Tendulkar flew back to India to attend the final rituals of his father, missing the match against Zimbabwe."
4,"The incident escalated to include sports journalists accusing Denness of racism, and led to Denness being barred from entering the venue of the third Test match."
5,"In the fourth and final Test in Sialkot, he was hit on the nose by a bouncer bowled by Younis, but he declined medical assistance and continued to bat even as he gushed blood from it."
6,Richards recorded the guitar riff that drives the song with a fuzzbox as a scratch track to guide a horn section.
7,"In January and February that year the band played 34 shows for around 100,000 people in Australia and New Zealand."
8,"Prior to this, Tendulkar had attended the Indian Education Societys New English School in Bandra (East)."
9,"He was dismissed without scoring in one of the two one-day games he played, and scored 36 in the other."
