,0
0,Occasional visits to the surface are sufficient for the beetle to re-establish the constitution of the bubble.
1,"The groups then acting manager, Giorgio Gomelsky, secured a Sunday afternoon residency at the Crawdaddy Club in Richmond, London, in February 1963."
2,"His histrionics come primarily in the form of his well-modulated baritone, conveying his emotions and of course, from the well-written lines."
3,"The band got three times a new acts typical royalty rate, full artistic control of recordings and ownership of the recording master tapes."
4,"It was the first of many collaborations between Salim-Javed and Amitabh Bachchan; Salim-Javed wrote many of their subsequent scripts with Bachchan in mind for the lead role, and insisted on him being cast for their later films, including blockbusters such as Deewaar (1975) and Sholay (1975)."
5,"Gujarat expanded the Jyotigram Yojana scheme, in which agricultural electricity was separated from other rural electricity; the agricultural electricity was rationed to fit scheduled irrigation demands, reducing its cost."
6,"On 20 January 1987, he also turned out as substitute for Imran Khans side in an exhibition game at Brabourne Stadium in Bombay, to mark the golden jubilee of Cricket Club of India."
7,"Because there are so many species, identification is quite difficult, and relies on attributes including the shape of the antennae, the tarsal formulae and shapes of these small segments on the legs, the mouthparts, and the ventral plates (sterna, pleura, coxae)."
8,His role won him his third Filmfare Best Supporting Actor Award.
9,"[""['bNarendra Damodardas Modi (Gujarati pronunciation: [xcbx88nxc9x99xc9xbeendrxc9x99 dxc9x91modxc9x99xc9xbexcbx88dxc9x91s xcbx88modixcbx90] (listen); born 17 September 1950) is an Indian politician serving as the 14th and current Prime Minister of India since 2014."", 'He was the Chief Minister of Gujarat from 2001 to 2014 and is the Member of Parliament for Varanasi."
