,0
0,"His supporting role won him his second Filmfare Best Supporting Actor award.In 1974, Bachchan made several guest appearances in films such as Kunwara Baap and Dost, before playing a supporting role in Roti Kapda Aur Makaan."
1,His role won him his third Filmfare Best Supporting Actor Award.
2,"This can, under some conditions, amount to altering the condition of the ball."
3,He is the highest run scorer of all time in International cricket.
4,"He is colloquially known as Little Master or Master Blaster, In 2001, Sachin Tendulkar became the first batsman to complete 10,000 ODI runs in his 259 innings."
5,"He co-starred with Rishi Kapoor in 102 Not Out, a comedy-drama film directed by Umesh Shukla based on a Gujarati play of the same name written by Saumya Joshi."
6,"Sarkar Raj, the sequel of the 2005 film Sarkar, released in June 2008 and received a positive response at the box office."
7,"Tendulkar was born at Nirmal Nursing Home in Dadar, Bombay on 24 April 1973 to a Maharashtrian Rajapur Saraswat Brahmin family."
8,He scored his first ODI century on 9 September 1994 against Australia in Sri Lanka at Colombo.
9,"In 1984, Bachchan took a break from acting and briefly entered politics in support of a long-time family friend, Rajiv Gandhi."
