,0
0,Modi was elected to the legislative assembly soon after.
1,"His performance in Piku, without doubt, finds a place among the top 10 in his illustrious career."""
2,"With respect to the quality of education in government schools, the state ranked below most Indian states."
3,"The mouthparts are rarely suctorial, though they are sometimes reduced; the maxillae always bear palps."
4,"Paa, which released at the end of 2009 was a highly anticipated project as it saw him playing his own son Abhisheks Progeria-affected 13-year-old son, and it opened to favourable reviews, particularly towards Bachchans performance and was one of the top-grossing films of 2009."
5,"A review in Daily News and Analysis (DNA) summarised Bachchans performance as ""The heart and soul of Piku clearly belong to Amitabh Bachchan who is in his elements."
6,"Rolling Stone magazine ranked them fourth on the ""100 Greatest Artists of All Time"" list and their estimated record sales is 200 million."
7,Indian captain Rahul Dravid declared before Tendulkar reached 200; had he done so it would have been the fourth time he had passed the landmark in Tests.
8,"According to Jagger, ""We werent actually following James Brown because there was considerable time between the filming of each section."
9,After the elections Vajpayee called the violence in Gujarat a reason for the BJPs electoral defeat and said it had been a mistake to leave Modi in office after the riots.Questions about Modis relationship with Muslims were also raised by many Western nations during his tenure as chief minister.
