,0
0,"Tax breaks for businesses were easier to obtain in Gujarat than in other states, as was land."
1,"Summarising academic views on the subject, Martha Nussbaum said: ""There is by now a broad consensus that the Gujarat violence was a form of ethnic cleansing, that in many ways it was premeditated, and that it was carried out with the complicity of the state government and officers of the law."""
2,"Lower Cretaceous sites include the Crato fossil beds in the Araripe basin in the Cearxc3xa1, North Brazil, as well as overlying Santana formation; the latter was near the equator at that time."
3,"Beetle fossils are abundant in the Cenozoic; by the Quaternary (up to 1.6 mya), fossil species are identical to living ones, while from the Late Miocene (5.7 mya) the fossils are still so close to modern forms that they are most likely the ancestors of living species."
4,Chappell also believed that Tendulkars repeated failures were hurting the teams chances.
5,"In 2013, Gujarat was ranked first among Indian states for ""economic freedom"" by a report measuring governance, growth, citizens rights and labour and business regulation among the countrys 20 largest states."
6,"A remake of his biggest hit, Sholay (1975), entitled Ram Gopal Varma Ki Aag, released in August of that same year and proved to be a major commercial failure in addition to its poor critical reception."
7,"In the aftermath of the violence there were widespread calls for Modi to resign as chief minister from within and outside the state, including from leaders of the Dravida Munnetra Kazhagam and the Telugu Desam Party (allies in the BJP-led National Democratic Alliance coalition), and opposition parties stalled Parliament over the issue."
8,Its not in the small ones destiny!
9,"Modis campaign blitz cost approximately  b950 billion (US$700 million), and received extensive financial support from corporate donors."
